"ID","Longitude","Latitude","Elevation","Centroid"
900506,-97498103,35341309,0.00,1
900507,-97945976,35529656,0.00,2
900508,-97623236,35340251,0.00,3
900509,-97576949,35529760,0.00,4
900510,-97344355,35471289,0.00,5
900511,-97534627,35435135,0.00,6
900512,-97488889,35660328,0.00,7
900513,-97576194,35601742,0.00,8
900514,-97414925,35453015,0.00,9
900515,-97540559,35645755,0.00,10
900516,-97326769,35493102,0.00,11
900517,-97458954,35196672,0.00,12
900518,-97605581,35486041,0.00,13
900519,-97501904,35428043,0.00,14
900520,-97553806,35558154,0.00,15
900521,-97516696,35496736,0.00,16
900522,-97520986,35487791,0.00,17
900523,-97471968,35655802,0.00,18
900524,-97554550,35398843,0.00,19
900525,-97538985,35384303,0.00,20
900526,-97749828,35130993,0.00,21
900527,-97957856,35025926,0.00,22
900528,-97556681,35505882,0.00,23
900529,-97432428,35395871,0.00,24
900530,-97515068,35441828,0.00,25
900531,-97539070,35424288,0.00,26
900532,-97522338,35580078,0.00,27
900533,-97556743,35424227,0.00,28
900534,-97522777,35776345,0.00,29
900535,-97639646,35558389,0.00,30
900536,-97538948,35474603,0.00,31
900537,-97558319,35631098,0.00,32
900538,-97545315,35647708,0.00,33
900539,-97415579,35193551,0.00,34
900540,-97525734,35398854,0.00,35
900541,-97556614,35543818,0.00,36
900542,-97498774,35240363,0.00,37
900543,-97442275,35522137,0.00,38
900544,-97600407,35607023,0.00,39
900545,-97565650,35436775,0.00,40
900546,-97520987,35479798,0.00,41
900547,-97645493,35482440,0.00,42
900548,-97731673,35498879,0.00,43
900549,-97415039,35459352,0.00,44
900550,-96893682,35528651,0.00,45
900551,-97962613,35527290,0.00,46
900552,-97536213,35660281,0.00,47
900553,-97628712,35558338,0.00,48
900554,-97514678,35413485,0.00,49
900555,-97514069,35398848,0.00,50
900556,-97647386,35602233,0.00,51
900557,-97689185,35496956,0.00,52
900558,-97525538,35489631,0.00,53
900559,-97526829,35532917,0.00,54
900560,-97556717,35482292,0.00,55
900561,-97500955,35399040,0.00,56
900562,-97654068,35500412,0.00,57
900563,-97527212,35645727,0.00,58
900564,-97574512,35489619,0.00,59
900565,-97496719,35483888,0.00,60
900566,-97610085,35529557,0.00,61
900567,-97459134,35341477,0.00,62
900568,-97573124,35319657,0.00,63
900569,-97540631,35711107,0.00,64
900570,-97490041,35487757,0.00,65
900571,-97397412,35471323,0.00,66
900572,-97574509,35502408,0.00,67
900573,-97556469,35529993,0.00,68
900574,-97513859,35616510,0.00,69
900575,-97474523,35630892,0.00,70
900576,-97717352,35457020,0.00,71
900577,-97574536,35527963,0.00,72
900578,-97505054,35674771,0.00,73
900579,-97574451,35446673,0.00,74
900580,-97438323,35703511,0.00,75
900581,-97760082,35391745,0.00,76
900582,-97567059,35355908,0.00,77
900583,-97443491,35482290,0.00,78
900584,-97501398,35413521,0.00,79
900585,-97558401,35674866,0.00,80
900586,-97540279,35561236,0.00,81
900587,-97432447,35425403,0.00,82
900588,-97473001,35645766,0.00,83
900589,-97635405,35247391,0.00,84
900590,-97538760,35504152,0.00,85
900591,-97452177,35225675,0.00,86
900592,-97256480,35449672,0.00,87
900593,-97370836,35456805,0.00,88
900594,-97751387,35500622,0.00,89
900595,-97576359,35653111,0.00,90
900596,-97563000,35572940,0.00,91
900597,-97592224,35478879,0.00,92
900598,-97450647,35235522,0.00,93
900599,-97624029,35516754,0.00,94
900600,-97538919,35370213,0.00,95
900601,-97483465,35327027,0.00,96
900602,-97665120,35564137,0.00,97
900603,-97194054,35608348,0.00,98
900604,-97572197,35542074,0.00,99
900605,-97727342,35591511,0.00,100
900606,-97558341,35660364,0.00,101
900607,-97627836,35529631,0.00,102
900608,-97971731,34978955,0.00,103
900609,-97610097,35543104,0.00,104
900610,-97534619,35451415,0.00,105
900611,-97489897,35514983,0.00,106
900612,-97472397,35489509,0.00,107
900613,-97538787,35496888,0.00,108
900614,-97185965,35442422,0.00,109
900615,-97471630,35662639,0.00,110
900616,-97386448,35203803,0.00,111
900617,-97592247,35489682,0.00,112
900618,-97512392,35356078,0.00,113
900619,-97432524,35442468,0.00,114
900620,-97556681,35489582,0.00,115
900621,-97504975,35645626,0.00,116
900622,-97539003,35395476,0.00,117
900623,-97556488,35334176,0.00,118
900624,-97521470,35504391,0.00,119
900625,-97445514,35203868,0.00,120
900626,-97647314,35569010,0.00,121
900627,-97454561,35821219,0.00,122
900628,-97472292,35225641,0.00,123
900629,-97489409,35616223,0.00,124
900630,-97518371,35652961,0.00,125
900631,-97698098,35475003,0.00,126
900632,-97645466,35489703,0.00,127
900633,-97414832,35442459,0.00,128
900634,-97520985,35327048,0.00,129
900635,-97522619,35558351,0.00,130
900636,-97499034,35370300,0.00,131
900637,-97487182,35565627,0.00,132
900638,-97689143,35428068,0.00,133
900639,-97397367,35458669,0.00,134
900640,-97527172,35515104,0.00,135
900641,-97569080,35400019,0.00,136
900642,-97393593,35442443,0.00,137
900643,-97442702,35584369,0.00,138
900644,-97558320,35645800,0.00,139
900645,-97654070,35536656,0.00,140
900646,-97417664,35211098,0.00,141
900647,-97733458,35384442,0.00,142
900648,-97592302,35516769,0.00,143
900649,-97563662,35598329,0.00,144
900650,-97508259,35341569,0.00,145
900651,-97335579,35442584,0.00,146
900652,-97697969,35391684,0.00,147
900653,-97482983,35391763,0.00,148
900654,-97415039,35471277,0.00,149
900655,-97540381,35587349,0.00,150
900656,-97611865,35580134,0.00,151
900657,-97664240,35554588,0.00,152
900658,-97605235,35401220,0.00,153
900659,-97498359,35480262,0.00,154
900660,-97647354,35587364,0.00,155
900661,-97505029,35660210,0.00,156
900662,-97539860,35543967,0.00,157
900663,-97520984,35305241,0.00,158
900664,-97435005,35188002,0.00,159
900665,-97574511,35482323,0.00,160
900666,-97535849,35575726,0.00,161
900667,-97568491,35414494,0.00,162
900668,-97468014,35326980,0.00,163
900669,-97515982,35459680,0.00,164
