geoid,centroid,GEOID,geometry
900506,1,40027201603,"list(c(-97.50602, -97.501668, -97.497965, -97.494961, -97.494773, -97.494539, -97.493789, -97.490608, -97.490186, -97.491043, -97.494526, -97.49821, -97.498516, -97.504364, -97.504346, -97.505097, -97.505092, -97.504481, -97.50445, -97.505949, -97.50602, 35.348829, 35.34879, 35.34878, 35.348776, 35.348776, 35.345769, 35.343348, 35.335552, 35.333859, 35.333789, 35.334287, 35.334292, 35.334289, 35.334286, 35.335664, 35.337738, 35.341718, 35.341719, 35.343162, 35.34607, 35.348829))"
900507,2,40017300300,"list(c(-97.9549, -97.948701, -97.937038, -97.937116, -97.937167, -97.952588, -97.952659, -97.952681, -97.954915, -97.9549, 35.536816, 35.536868, 35.537011, 35.526062, 35.522418, 35.522301, 35.529574, 35.531379, 35.53228, 35.536816))"
900508,3,40027201700,"list(c(-97.671463, -97.671356, -97.671369, -97.662295, -97.636094, -97.57501, -97.580653, -97.586486, -97.592307, -97.594946, -97.596233, -97.596768, -97.599013, -97.602908, -97.617799, -97.619978, -97.624067, -97.625289, -97.627406, -97.631517, -97.638105, -97.642359, -97.646815, -97.649978, -97.652537, -97.654725, -97.656526, -97.662965, -97.669408, -97.671415, -97.671463, 35.346896, 35.348123, 35.377151, 35.377147, 35.377129, 35.377124, 35.363062, 35.348518, 35.334002, 35.327409, 35.323216, 35.32045, 
35.303351, 35.303521, 35.305211, 35.306947, 35.311946, 35.312504, 35.314627, 35.316929, 35.321127, 35.325994, 35.329383, 35.331322, 35.333381, 35.334447, 35.335148, 35.336617, 35.336736, 35.337465, 35.346896))"
900509,4,40109980002,"list(c(-97.579363, -97.574564, -97.574536, -97.578281, -97.578964, -97.579363, 35.532041, 35.529939, 35.52748, 35.527516, 35.529514, 35.532041))"
900510,5,40109108807,"list(c(-97.353125, -97.353112, -97.344417, -97.335585, -97.3356, -97.335642, -97.340534, -97.344606, -97.353122, -97.353125, 35.471291, 35.478539, 35.478555, 35.478546, 35.471202, 35.464056, 35.464056, 35.464023, 35.464051, 35.471291))"
900511,6,40109104500,"list(c(-97.539099, -97.539083, -97.530155, -97.530172, -97.53019, -97.530199, -97.539091, -97.539094, -97.539099, 35.435229, 35.442455, 35.442474, 35.435253, 35.4303, 35.427797, 35.427857, 35.430827, 35.435229))"
900512,7,40109108203,"list(c(-97.496054, -97.487114, -97.481725, -97.482846, -97.48286, -97.483535, -97.486946, -97.496005, -97.496028, -97.496037, -97.496054, 35.667457, 35.667425, 35.667358, 35.658683, 35.658563, 35.653199, 35.653711, 35.653765, 35.659007, 35.660205, 35.667457))"
900513,8,40109108520,"list(c(-97.585216, -97.585194, -97.576121, -97.567168, -97.56718, -97.567187, -97.567193, -97.582904, -97.58522, -97.585216, 35.601646, 35.608845, 35.608653, 35.608611, 35.601896, 35.59791, 35.594721, 35.594649, 35.594639, 35.601646))"
900514,9,40109107704,"list(c(-97.423794, -97.421513, -97.415008, -97.408603, -97.408615, -97.406127, -97.406056, -97.41416, -97.416558, -97.423682, -97.423794, 35.456052, 35.455543, 35.455576, 35.456429, 35.45464, 35.454628, 35.449691, 35.44964, 35.449651, 35.449602, 35.456052))"
900515,10,40109108237,"list(c(-97.549497, -97.546536, -97.543586, -97.543847, -97.541113, -97.541118, -97.542938, -97.531687, -97.531639, -97.531621, -97.549486, -97.549497, 35.643274, 35.643206, 35.642374, 35.646169, 35.646185, 35.652469, 35.653029, 35.653007, 35.642489, 35.638481, 35.638521, 35.643274))"
900516,11,40109108805,"list(c(-97.353127, -97.352992, -97.348865, -97.335718, -97.334588, -97.318064, -97.309268, -97.304251, -97.300472, -97.300467, -97.300462, -97.300438, -97.300412, -97.31794, -97.335585, -97.344417, -97.353112, -97.353102, -97.353103, -97.353119, -97.353127, 35.507469, 35.507469, 35.507488, 35.507537, 35.50754, 35.507588, 35.507627, 35.507649, 35.507666, 35.500426, 35.493169, 35.48557, 35.478644, 35.478592, 35.478546, 35.478555, 35.478539, 35.486759, 35.486875, 35.493006, 35.507469))"
900517,12,40027201102,"list(c(-97.467785, -97.458977, -97.454536, -97.450134, -97.45013, -97.450145, -97.450022, -97.450208, -97.454579, -97.459151, -97.459075, -97.467886, -97.467785, 35.203906, 35.203907, 35.203897, 35.20384, 35.202056, 35.196694, 35.189492, 35.189492, 35.189437, 35.18944, 35.197102, 35.197069, 35.203906))"
900518,13,40109106916,"list(c(-97.610077, -97.610022, -97.601142, -97.601113, -97.601085, -97.610061, -97.610072, -97.610077, 35.489668, 35.493287, 35.493309, 35.486047, 35.478774, 35.47878, 35.486042, 35.489668))"
900519,14,40109104800,"list(c(-97.508699, -97.499209, -97.49475, -97.494755, -97.49476, -97.494757, -97.494791, -97.499254, -97.501449, -97.503664, -97.507982, -97.50798, -97.507969, -97.50796, -97.509059, -97.508699, 35.435243, 35.435298, 35.435324, 35.433473, 35.431658, 35.427895, 35.420821, 35.420802, 35.420792, 35.420782, 35.420763, 35.422405, 35.428326, 35.433266, 35.43524, 35.435243))"
900520,15,40109106403,"list(c(-97.567221, -97.567178, -97.562584, -97.558914, -97.557444, -97.549251, -97.540367, -97.540397, -97.543906, -97.544855, -97.549272, -97.549274, -97.549278, -97.546114, -97.546114, -97.544957, -97.540411, -97.540415, -97.547246, -97.549315, -97.552355, -97.553064, -97.554212, -97.556879, -97.557044, -97.558092, -97.565648, -97.567246, -97.567221, 35.55809, 35.565688, 35.565671, 35.565655, 35.565651, 35.565619, 35.56558, 35.560626, 35.560689, 35.559654, 35.559689, 35.559163, 35.558705, 35.558655, 
35.559073, 35.558359, 35.558339, 35.551125, 35.551081, 35.550852, 35.55062, 35.550644, 35.550692, 35.550985, 35.550979, 35.55107, 35.55111, 35.553538, 35.55809))"
900521,16,40109101200,"list(c(-97.521004, -97.514021, -97.513842, -97.513058, -97.51276, -97.512393, -97.512381, -97.512345, -97.512562, -97.515791, -97.521048, -97.521004, 35.500502, 35.500565, 35.500534, 35.500577, 35.497641, 35.493377, 35.493255, 35.492896, 35.493255, 35.493217, 35.493238, 35.500502))"
900522,17,40109109400,"list(c(-97.530029, -97.529446, -97.525573, -97.52112, -97.521048, -97.515791, -97.512562, -97.512345, -97.511776, -97.511928, -97.515985, -97.515985, -97.521124, -97.522669, -97.525536, -97.530015, -97.530011, -97.530197, -97.530029, 35.486115, 35.485989, 35.486006, 35.48599, 35.493238, 35.493217, 35.493255, 35.492896, 35.487028, 35.482327, 35.482348, 35.482377, 35.482376, 35.48238, 35.482374, 35.482434, 35.482734, 35.486015, 35.486115))"
900523,18,40109108207,"list(c(-97.48286, -97.478094, -97.475018, -97.475034, -97.469709, -97.469293, -97.468756, -97.466898, -97.460401, -97.460403, -97.460448, -97.46689, -97.473574, -97.475008, -97.482553, -97.483535, -97.48286, 35.658563, 35.65818, 35.657921, 35.658863, 35.658825, 35.658721, 35.658611, 35.658598, 35.658719, 35.65856, 35.652741, 35.652776, 35.652788, 35.652788, 35.653271, 35.653199, 35.658563))"
900524,19,40109107214,"list(c(-97.561193, -97.560788, -97.561162, -97.561176, -97.561178, -97.561207, -97.557295, -97.556823, -97.555152, -97.553613, -97.552362, -97.547938, -97.547919, -97.547902, -97.547899, -97.547864, -97.552594, -97.555726, -97.557391, -97.561237, -97.561193, 35.39892, 35.400068, 35.402492, 35.403278, 35.403373, 35.406173, 35.406185, 35.406187, 35.406192, 35.406197, 35.4062, 35.406214, 35.402356, 35.398959, 35.398177, 35.391473, 35.391491, 35.391987, 35.392331, 35.393131, 35.39892))"
900525,20,40109107206,"list(c(-97.547865, -97.547864, -97.5392, -97.530105, -97.530106, -97.530113, -97.53012, -97.53012, -97.530138, -97.538975, -97.54438, -97.547826, -97.547863, -97.547864, -97.547864, -97.547864, -97.547865, 35.387281, 35.391473, 35.391474, 35.391475, 35.391023, 35.387524, 35.384586, 35.384413, 35.377148, 35.37714, 35.377135, 35.377131, 35.377131, 35.382413, 35.383393, 35.384383, 35.387281))"
900526,21,40051000801,"list(c(-97.829142, -97.829214, -97.829148, -97.828659, -97.829081, -97.829031, -97.824718, -97.794566, -97.785379, -97.784734, -97.758926, -97.758771, -97.745944, -97.736981, -97.736329, -97.736097, -97.736002, -97.735161, -97.73386, -97.670887, -97.670389, -97.670417, -97.67044, -97.670438, -97.670438, -97.670465, -97.670437, -97.670471, -97.670519, -97.672994, -97.674645, -97.68808, -97.696041, -97.697349, -97.703073, -97.708406, -97.710707, -97.71643, -97.723529, -97.727666, -97.738777, -97.740672, 
-97.751261, -97.754844, -97.758629, -97.758957, -97.761738, -97.776149, -97.781953, -97.793888, -97.79388, -97.793876, -97.793862, -97.793857, -97.793914, -97.793945, -97.793966, -97.793974, -97.793971, -97.802546, -97.829267, -97.829142, 35.135463, 35.136064, 35.181625, 35.187502, 35.189205, 35.203682, 35.203684, 35.203713, 35.203687, 35.203685, 35.203696, 35.203699, 35.203733, 35.203944, 35.203802, 35.203704, 35.20366, 35.203504, 35.203708, 35.203775, 35.203776, 35.196692, 35.190094, 35.182313, 
35.182081, 35.160337, 35.145826, 35.131265, 35.126936, 35.124547, 35.124089, 35.124195, 35.124157, 35.124022, 35.121876, 35.116759, 35.114801, 35.110836, 35.10376, 35.100027, 35.090901, 35.089141, 35.077294, 35.073532, 35.070587, 35.070378, 35.068719, 35.062127, 35.060468, 35.058042, 35.073154, 35.083963, 35.087674, 35.091285, 35.104652, 35.117078, 35.123887, 35.12752, 35.131215, 35.131204, 35.13114, 35.135463))"
900527,22,40051000501,"list(c(-97.971395, -97.970268, -97.97029, -97.961894, -97.95999, -97.959978, -97.951877, -97.947882, -97.943748, -97.943754, -97.943744, -97.943727, -97.948223, -97.952534, -97.952542, -97.971985, -97.971395, 35.023556, 35.025204, 35.036812, 35.03681, 35.036681, 35.03371, 35.033698, 35.033862, 35.033719, 35.029571, 35.020523, 35.015052, 35.015073, 35.01504, 35.022373, 35.022285, 35.023556))"
900528,23,40109100203,"list(c(-97.565673, -97.565605, -97.563562, -97.563558, -97.561705, -97.560514, -97.552137, -97.54769, -97.547691, -97.547691, -97.547691, -97.552134, -97.556596, -97.556597, -97.556586, -97.561815, -97.562821, -97.565666, -97.56567, -97.565673, 35.50759, 35.511309, 35.511309, 35.510127, 35.510126, 35.507641, 35.507722, 35.507764, 35.50424, 35.502004, 35.500534, 35.50049, 35.500455, 35.501362, 35.502236, 35.502167, 35.502032, 35.502224, 35.504994, 35.50759))"
900529,24,40109107405,"list(c(-97.441302, -97.436616, -97.435747, -97.432909, -97.430772, -97.430248, -97.427394, -97.426924, -97.429471, -97.42922, -97.423613, -97.423555, -97.423588, -97.423587, -97.423566, -97.433236, -97.441222, -97.441229, -97.441235, -97.441291, -97.441297, -97.441302, 35.413915, 35.413965, 35.414469, 35.413968, 35.413147, 35.411625, 35.411635, 35.409872, 35.409081, 35.406273, 35.406272, 35.391061, 35.38437, 35.384138, 35.377316, 35.377293, 35.377274, 35.384431, 35.391392, 35.406276, 35.411423, 35.413915
))"
900530,25,40109104700,"list(c(-97.521418, -97.521412, -97.521234, -97.520679, -97.516185, -97.514966, -97.512987, -97.513133, -97.512432, -97.509957, -97.508699, -97.509059, -97.512497, -97.516124, -97.521437, -97.521418, 35.442451, 35.444514, 35.44832, 35.44813, 35.448211, 35.448052, 35.448437, 35.44381, 35.441518, 35.437303, 35.435243, 35.43524, 35.43522, 35.435227, 35.435237, 35.442451))"
900531,26,40109107218,"list(c(-97.547938, -97.539836, -97.539091, -97.530199, -97.530225, -97.539084, -97.547941, -97.547938, 35.427768, 35.427802, 35.427857, 35.427797, 35.420749, 35.420733, 35.420719, 35.427768))"
900532,27,40109106302,"list(c(-97.531507, -97.522552, -97.513712, -97.513809, -97.513169, -97.513715, -97.513864, -97.513826, -97.513799, -97.52242, -97.531298, -97.531323, -97.531333, -97.531365, -97.531385, -97.531446, -97.531507, 35.59454, 35.59458, 35.594617, 35.586774, 35.586458, 35.584883, 35.580105, 35.569363, 35.565589, 35.565565, 35.565539, 35.569541, 35.57134, 35.576654, 35.580066, 35.587312, 35.59454))"
900533,28,40109105500,"list(c(-97.565549, -97.561386, -97.556828, -97.552381, -97.55071, -97.549992, -97.547938, -97.547941, -97.552382, -97.554597, -97.556811, -97.561384, -97.565545, -97.565549, 35.427697, 35.427705, 35.427728, 35.427743, 35.427764, 35.427767, 35.427768, 35.420719, 35.42071, 35.420706, 35.420702, 35.420694, 35.420686, 35.427697))"
