HOUSEID,PERSONID,TDTRPNUM,TRVLCMIN,TRIPPURP,WHYTO,WHYFROM,TRPTRANS,trip_mode_drivingDetail,trip_mode_simplified,trip_purpose,trip_mode_EXTRA_simplified,trip_purpose_EXTRA_simp
30002708,01,01,30,HBW,03,01,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30002708,01,02,30,HBW,01,03,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30002708,02,01,30,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30002708,02,02,30,NHB,06,03,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30002708,02,03,30,NHB,06,06,03,Drive: Car,Drive,Giving someone a ride,Drive,Giving Someone a Ride
30002708,02,04,30,HBO,01,06,03,Drive: Car,Drive,Going Home,Drive,Going Home
30002708,03,02,45,NHB,08,08,03,Drive: Car,Drive,Going to School,Drive,Going to School
30002708,03,03,30,HBO,01,08,03,Drive: Car,Drive,Going Home,Drive,Going Home
30012060,01,01,20,NHB,11,03,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30012060,01,02,10,NHB,11,11,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30012060,01,03,5,NHB,11,11,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30012060,01,04,10,NHB,13,11,04,Drive: SUV/Van,Drive,Going out to eat,Drive,Getting Food/Drinks
30012060,01,05,10,NHB,11,13,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30012060,01,06,20,HBSHOP,01,11,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30021941,01,01,20,HBW,03,01,03,Drive: Car,Drive,Work,Drive,Work
30021941,01,02,20,HBW,01,03,03,Drive: Car,Drive,Going Home,Drive,Going Home
30031892,01,01,15,NHB,15,15,06,Drive: Pickup Truck,Drive,Recreational Activities,Drive,Recreational Activities
30031892,01,02,15,NHB,15,15,06,Drive: Pickup Truck,Drive,Recreational Activities,Drive,Recreational Activities
30031892,01,03,152,HBSOCREC,01,15,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30035673,01,01,6,HBSHOP,11,01,04,Drive: SUV/Van,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30035673,01,02,5,NHB,19,11,04,Drive: SUV/Van,Drive,Religious,Drive,Volunteering/Religious Activities
30035673,01,03,3,HBO,01,19,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
30035673,02,01,5,HBSHOP,11,01,06,Drive: Pickup Truck,Drive,Grocceries or Other Shopping,Drive,Grocceries or Other Shopping
30035673,02,02,30,NHB,03,11,06,Drive: Pickup Truck,Drive,Work,Drive,Work
30035673,02,03,55,HBW,01,03,06,Drive: Pickup Truck,Drive,Going Home,Drive,Going Home
30035673,03,01,25,HBW,03,01,04,Drive: SUV/Van,Drive,Work,Drive,Work
30035673,03,02,30,HBW,01,03,04,Drive: SUV/Van,Drive,Going Home,Drive,Going Home
